[05: 46: 11] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 189.905 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 18: 25] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 3.527 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 24: 07] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_register HTTP/1.1 [status]: 200 [response-time]: 354.181 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 24: 07] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 211.518 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 30: 23] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 6.128 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 33: 33] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 7.278 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 35: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 244.832 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 35: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 0.529 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 35: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 76.257 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 35: 04] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/manufacture/add_product_value HTTP/1.1 [status]: 200 [response-time]: 86.130 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
