[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_area HTTP/1.1 [status]: 200 [response-time]: 0.166 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/farmer/user_add_area HTTP/1.1 [status]: 200 [response-time]: 22.798 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 0.314 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/logistic/add_logistic HTTP/1.1 [status]: 200 [response-time]: 3.786 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_factor HTTP/1.1 [status]: 200 [response-time]: 0.317 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/farmer/user_add_factor HTTP/1.1 [status]: 200 [response-time]: 3.037 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.167 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 3.186 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer?id=1532329367873 HTTP/1.1 [status]: 200 [response-time]: 1.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 20: 32] [ip]: ::ffff:192.168.0.110 - [method]: GET [url]: /api/v1/farmer/user_get_farmer?id=1532329367873 HTTP/1.1 [status]: 200 [response-time]: 4.133 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
