[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 10.218 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 3.955 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.485 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 5.576 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.261 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 47: 11] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.520 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 5.341 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 20.285 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 1.415 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 15.547 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 5.657 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.820 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 17.648 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.551 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 19.913 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.529 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.207 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.391 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 13.436 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: OPTIONS [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 0.400 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 6.349 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 48: 28] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 18.060 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36
[15: 51: 18] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/graph/get_tab_chart HTTP/1.1 [status]: 200 [response-time]: 40.287 ms [client]: PostmanRuntime/7.4.0
[15: 51: 18] [ip]: ::ffff:192.168.224.87 - [method]: GET [url]: /api/v1/graph/get_allname_peichart HTTP/1.1 [status]: 200 [response-time]: 10.010 ms [client]: PostmanRuntime/7.4.0
[15: 51: 18] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 9.836 ms [client]: PostmanRuntime/7.4.0
[15: 51: 18] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 10.355 ms [client]: PostmanRuntime/7.4.0
[15: 54: 19] [ip]: ::ffff:192.168.224.87 - [method]: POST [url]: /api/v1/graph/get_all_piechart HTTP/1.1 [status]: 200 [response-time]: 17.921 ms [client]: PostmanRuntime/7.4.0
