[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 24.634 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: OPTIONS [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 0.753 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 18.875 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 20.514 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 30.505 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: OPTIONS [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 200 [response-time]: 0.502 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 22.976 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[09: 08: 02] [ip]: ::ffff:192.168.0.130 - [method]: GET [url]: /api/v1/se/get_plant_type_chart HTTP/1.1 [status]: 304 [response-time]: 20.006 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 18.983 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 13: 03] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 16.653 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 13: 16] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 26.180 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
[11: 14: 37] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/plan/get_plan_chart HTTP/1.1 [status]: 200 [response-time]: 29.273 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36
