[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 0.522 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 102.300 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 0.301 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 61.326 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 0.329 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/area/user_add_area HTTP/1.1 [status]: 200 [response-time]: 103.508 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.266 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 41.597 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.254 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 47.043 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 200 [response-time]: 0.157 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: GET [url]: /api/v1/farmer/user_get_farmer HTTP/1.1 [status]: 304 [response-time]: 41.093 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 0.184 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 101.420 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
[06: 02: 57] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/harvest/user_add_harvest HTTP/1.1 [status]: 200 [response-time]: 0.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
